id,form_score
user_video,1.0
114,0.21412100917595686
135,0.20700450581532734
139,0.19586716065255066
138,0.19363627962028446
130,0.19084902330130132
141,0.18715808307531545
142,0.1839655606862932
117,0.1837063175227771
132,0.1835002005387412
134,0.1833232436805109
148,0.18284632591084696
140,0.18097514864667089
145,0.1808919061311947
115,0.18079296865513136
116,0.17485916539696342
129,0.172410991736669
144,0.17163702026652872
147,0.16971645692743814
121,0.16683497474763292
125,0.16636676750745946
149,0.1642276644120879
102,0.1630420065067505
137,0.1618225498428538
113,0.16153707709671444
104,0.15937112733959208
143,0.15901898285774635
101,0.1576669025422332
108,0.15467182914418623
123,0.15204073764215645
133,0.15085204911497901
111,0.14853114641421816
131,0.14589684676050432
107,0.14459963894225614
119,0.14301593669160212
110,0.14264804713479318
118,0.14222323085672708
136,0.14113706967496706
112,0.1397075083066411
127,0.13955206959645627
106,0.13191277493183848
126,0.1316176137844772
124,0.13010772144102406
120,0.12488475359555622
150,0.1243811760593468
105,0.12386437718186805
109,0.12311921781192839
146,0.12287519330131622
103,0.11988681451133532
128,0.11697163860954878
122,0.1089955704746463
